Week,Appletini
8/14/22,55
8/21/22,67
8/28/22,76
9/4/22,65
9/11/22,49
9/18/22,100
9/25/22,79
10/2/22,77
10/9/22,78
10/16/22,84
10/23/22,89
10/30/22,70
11/6/22,58
11/13/22,74
11/20/22,72
11/27/22,65
12/4/22,77
12/11/22,97
12/18/22,75
12/25/22,84
1/1/23,55
1/8/23,48
1/15/23,55
1/22/23,53
1/29/23,61
2/5/23,49
2/12/23,64
2/19/23,67
2/26/23,60
3/5/23,58
3/12/23,87
3/19/23,44
3/26/23,65
4/2/23,85
4/9/23,63
4/16/23,63
4/23/23,66
4/30/23,49
5/7/23,34
5/14/23,40
5/21/23,74
5/28/23,82
6/4/23,70
6/11/23,78
6/18/23,53
6/25/23,55
7/2/23,74
7/9/23,75
7/16/23,50
7/23/23,66
7/30/23,46
