Week,blue h
8/14/22,71
8/21/22,75
8/28/22,64
9/4/22,62
9/11/22,54
9/18/22,60
9/25/22,54
10/2/22,59
10/9/22,60
10/16/22,53
10/23/22,52
10/30/22,52
11/6/22,46
11/13/22,46
11/20/22,56
11/27/22,48
12/4/22,54
12/11/22,56
12/18/22,52
12/25/22,66
1/1/23,58
1/8/23,57
1/15/23,57
1/22/23,55
1/29/23,56
2/5/23,54
2/12/23,61
2/19/23,62
2/26/23,68
3/5/23,62
3/12/23,62
3/19/23,59
3/26/23,62
4/2/23,69
4/9/23,66
4/16/23,57
4/23/23,71
4/30/23,78
5/7/23,73
5/14/23,76
5/21/23,81
5/28/23,82
6/4/23,91
6/11/23,83
6/18/23,82
6/25/23,86
7/2/23,100
7/9/23,88
7/16/23,86
7/23/23,66
7/30/23,68
