Week,cosmo
8/14/22,78
8/21/22,82
8/28/22,80
9/4/22,78
9/11/22,73
9/18/22,74
9/25/22,69
10/2/22,76
10/9/22,69
10/16/22,71
10/23/22,71
10/30/22,82
11/6/22,77
11/13/22,83
11/20/22,81
11/27/22,74
12/4/22,75
12/11/22,81
12/18/22,92
12/25/22,100
1/1/23,82
1/8/23,80
1/15/23,81
1/22/23,81
1/29/23,76
2/5/23,76
2/12/23,74
2/19/23,79
2/26/23,78
3/5/23,77
3/12/23,79
3/19/23,77
3/26/23,76
4/2/23,78
4/9/23,74
4/16/23,75
4/23/23,75
4/30/23,78
5/7/23,78
5/14/23,76
5/21/23,76
5/28/23,84
6/4/23,78
6/11/23,75
6/18/23,81
6/25/23,83
7/2/23,89
7/9/23,85
7/16/23,82
7/23/23,91
7/30/23,79
