Region,Hurricane
Louisiana,100
Florida,39
Mississippi,35
South Carolina,35
Alabama,34
Delaware,34
Missouri,33
Nebraska,32
Oklahoma,30
Nevada,30
Texas,29
North Carolina,27
Wisconsin,27
Tennessee,26
Georgia,26
Colorado,26
Michigan,26
Kentucky,26
Minnesota,25
New Hampshire,25
Iowa,25
Vermont,25
Virginia,25
Connecticut,24
Hawaii,24
Arkansas,24
North Dakota,24
Ohio,24
Illinois,23
Indiana,23
Pennsylvania,23
South Dakota,23
Arizona,22
Oregon,22
Montana,21
Washington,20
Maryland,20
Kansas,20
New York,19
Massachusetts,19
Maine,19
West Virginia,18
New Jersey,18
Idaho,18
Alaska,18
Wyoming,16
Rhode Island,16
New Mexico,15
California,15
Utah,14
District of Columbia,12
Utah,14
District of Columbia,12
