Week,hurricane
8/14/22,26
8/21/22,33
8/28/22,33
9/4/22,33
9/11/22,26
9/18/22,30
9/25/22,96
10/2/22,30
10/9/22,26
10/16/22,33
10/23/22,24
10/30/22,26
11/6/22,32
11/13/22,24
11/20/22,26
11/27/22,20
12/4/22,19
12/11/22,22
12/18/22,24
12/25/22,28
1/1/23,27
1/8/23,28
1/15/23,28
1/22/23,27
1/29/23,41
2/5/23,38
2/12/23,67
2/19/23,100
2/26/23,30
3/5/23,32
3/12/23,34
3/19/23,29
3/26/23,30
4/2/23,29
4/9/23,27
4/16/23,32
4/23/23,32
4/30/23,28
5/7/23,34
5/14/23,31
5/21/23,36
5/28/23,34
6/4/23,35
6/11/23,32
6/18/23,32
6/25/23,33
7/2/23,36
7/9/23,29
7/16/23,33
7/23/23,73
7/30/23,27
7/23/23,73
7/30/23,27
