Region,Mango margarita
Arizona,100
Florida,94
Arkansas,84
California,82
District of Columbia,82
Nevada,81
Texas,79
Missouri,76
Colorado,76
Hawaii,75
Illinois,73
Oklahoma,72
Pennsylvania,71
Connecticut,69
New Jersey,69
Massachusetts,69
Oregon,68
Tennessee,68
New York,68
South Carolina,66
Georgia,65
Louisiana,63
Virginia,61
Kansas,61
Maryland,61
Kentucky,61
Alabama,59
Ohio,57
New Hampshire,55
Indiana,54
North Carolina,52
Wisconsin,48
Washington,47
Minnesota,45
Michigan,43
Iowa,40
Utah,39
North Dakota,
South Dakota,
Mississippi,
New Mexico,
Idaho,
Vermont,
Montana,
West Virginia,
Delaware,
Maine,
Alaska,
Nebraska,
Rhode Island,
Wyoming,
Rhode Island,
Wyoming,
