Week,mimosa
8/14/22,65
8/21/22,64
8/28/22,65
9/4/22,68
9/11/22,61
9/18/22,58
9/25/22,56
10/2/22,61
10/9/22,64
10/16/22,62
10/23/22,54
10/30/22,59
11/6/22,64
11/13/22,62
11/20/22,86
11/27/22,52
12/4/22,58
12/11/22,69
12/18/22,100
12/25/22,96
1/1/23,65
1/8/23,59
1/15/23,61
1/22/23,60
1/29/23,60
2/5/23,65
2/12/23,63
2/19/23,69
2/26/23,67
3/5/23,72
3/12/23,71
3/19/23,70
3/26/23,70
4/2/23,84
4/9/23,76
4/16/23,71
4/23/23,69
4/30/23,69
5/7/23,91
5/14/23,92
5/21/23,64
5/28/23,68
6/4/23,65
6/11/23,67
6/18/23,68
6/25/23,63
7/2/23,66
7/9/23,59
7/16/23,64
7/23/23,61
7/30/23,56
7/23/23,61
7/30/23,56
