Week,pina colada
8/14/22,53
8/21/22,52
8/28/22,52
9/4/22,51
9/11/22,39
9/18/22,39
9/25/22,31
10/2/22,32
10/9/22,30
10/16/22,31
10/23/22,29
10/30/22,28
11/6/22,27
11/13/22,27
11/20/22,37
11/27/22,27
12/4/22,26
12/11/22,29
12/18/22,38
12/25/22,50
1/1/23,37
1/8/23,30
1/15/23,36
1/22/23,30
1/29/23,35
2/5/23,34
2/12/23,38
2/19/23,39
2/26/23,40
3/5/23,49
3/12/23,43
3/19/23,41
3/26/23,43
4/2/23,51
4/9/23,51
4/16/23,48
4/23/23,51
4/30/23,52
5/7/23,53
5/14/23,57
5/21/23,64
5/28/23,75
6/4/23,63
6/11/23,70
6/18/23,70
6/25/23,79
7/2/23,100
7/9/23,75
7/16/23,66
7/23/23,66
7/30/23,59
7/23/23,66
7/30/23,59
