Week,rose
8/14/22,64
8/21/22,58
8/28/22,60
9/4/22,52
9/11/22,48
9/18/22,48
9/25/22,46
10/2/22,45
10/9/22,47
10/16/22,45
10/23/22,45
10/30/22,45
11/6/22,44
11/13/22,47
11/20/22,66
11/27/22,47
12/4/22,50
12/11/22,65
12/18/22,86
12/25/22,100
1/1/23,62
1/8/23,45
1/15/23,47
1/22/23,48
1/29/23,45
2/5/23,52
2/12/23,61
2/19/23,48
2/26/23,44
3/5/23,46
3/12/23,47
3/19/23,47
3/26/23,50
4/2/23,54
4/9/23,54
4/16/23,56
4/23/23,57
4/30/23,55
5/7/23,65
5/14/23,69
5/21/23,68
5/28/23,69
6/4/23,68
6/11/23,65
6/18/23,65
6/25/23,67
7/2/23,71
7/9/23,65
7/16/23,64
7/23/23,61
7/30/23,59
7/23/23,61
7/30/23,59
