Region,sob
South Dakota,100
Wyoming,76
North Dakota,69
Minnesota,68
Rhode Island,68
New Hampshire,67
Nevada,65
Iowa,64
Michigan,63
Montana,61
Vermont,60
Indiana,54
Wisconsin,53
Ohio,53
Alaska,52
South Carolina,51
Idaho,51
Alabama,51
West Virginia,50
Kentucky,49
Delaware,48
Connecticut,48
Missouri,47
Mississippi,47
Oklahoma,47
Maine,46
Massachusetts,46
Pennsylvania,46
Florida,46
Hawaii,45
Nebraska,44
Tennessee,43
Kansas,43
Arizona,42
Georgia,42
District of Columbia,41
Oregon,41
Colorado,40
North Carolina,39
Maryland,38
Illinois,37
Arkansas,37
Louisiana,37
Virginia,37
New York,36
Utah,36
Washington,35
New Jersey,33
Texas,29
California,28
New Mexico,26
California,28
New Mexico,26
