Week,sex on beach
8/14/22,93
8/21/22,85
8/28/22,80
9/4/22,79
9/11/22,80
9/18/22,71
9/25/22,68
10/2/22,71
10/9/22,69
10/16/22,74
10/23/22,66
10/30/22,72
11/6/22,69
11/13/22,74
11/20/22,71
11/27/22,61
12/4/22,70
12/11/22,72
12/18/22,80
12/25/22,99
1/1/23,81
1/8/23,73
1/15/23,69
1/22/23,69
1/29/23,71
2/5/23,75
2/12/23,81
2/19/23,81
2/26/23,74
3/5/23,71
3/12/23,86
3/19/23,74
3/26/23,76
4/2/23,74
4/9/23,73
4/16/23,85
4/23/23,75
4/30/23,80
5/7/23,78
5/14/23,89
5/21/23,95
5/28/23,96
6/4/23,88
6/11/23,91
6/18/23,87
6/25/23,94
7/2/23,98
7/9/23,89
7/16/23,100
7/23/23,88
7/30/23,91
