Region,strawberry daiq
Maine,100
West Virginia,92
Mississippi,85
Iowa,81
Kentucky,81
Indiana,81
Hawaii,79
South Carolina,79
Missouri,75
Kansas,75
Arkansas,73
Michigan,73
Vermont,73
Tennessee,71
New Hampshire,71
Delaware,70
South Dakota,69
Alabama,68
Florida,68
Ohio,67
Nebraska,63
Pennsylvania,63
North Carolina,62
Louisiana,62
Oklahoma,59
Minnesota,58
Wisconsin,57
Idaho,56
Connecticut,56
Oregon,56
Georgia,56
Maryland,55
Nevada,54
Rhode Island,53
Utah,52
Massachusetts,51
Illinois,51
Virginia,50
Arizona,49
New Jersey,48
New York,48
Texas,43
Colorado,42
Washington,42
Montana,42
New Mexico,41
California,32
District of Columbia,24
North Dakota,
Alaska,
Wyoming,
Alaska,
Wyoming,
