Week,strawberry daiq
8/14/22,54
8/21/22,47
8/28/22,46
9/4/22,47
9/11/22,37
9/18/22,36
9/25/22,32
10/2/22,31
10/9/22,28
10/16/22,30
10/23/22,33
10/30/22,28
11/6/22,24
11/13/22,21
11/20/22,40
11/27/22,30
12/4/22,23
12/11/22,29
12/18/22,44
12/25/22,67
1/1/23,50
1/8/23,34
1/15/23,33
1/22/23,28
1/29/23,38
2/5/23,31
2/12/23,42
2/19/23,41
2/26/23,39
3/5/23,40
3/12/23,44
3/19/23,40
3/26/23,44
4/2/23,54
4/9/23,51
4/16/23,53
4/23/23,43
4/30/23,59
5/7/23,57
5/14/23,65
5/21/23,70
5/28/23,87
6/4/23,76
6/11/23,74
6/18/23,68
6/25/23,82
7/2/23,100
7/9/23,64
7/16/23,64
7/23/23,68
7/30/23,58
7/23/23,68
7/30/23,58
