Region,watermelon marg
District of Columbia,100
Rhode Island,96
Maine,87
Louisiana,82
Colorado,77
New Hampshire,74
Pennsylvania,71
South Carolina,71
Delaware,69
Arkansas,69
Kansas,69
Texas,68
Kentucky,67
New Jersey,66
North Carolina,65
Oregon,64
Georgia,64
Alabama,63
Arizona,61
New York,61
Massachusetts,59
California,57
Florida,57
Minnesota,57
Connecticut,54
Illinois,54
Idaho,53
Missouri,52
Maryland,50
Tennessee,49
Virginia,47
Washington,43
Nevada,43
Michigan,42
Indiana,41
Iowa,40
Wisconsin,38
Oklahoma,37
New Mexico,37
Ohio,34
Mississippi,33
Nebraska,31
Utah,24
Wyoming,
North Dakota,
South Dakota,
West Virginia,
Hawaii,
Alaska,
Montana,
Vermont,
Montana,
Vermont,
