Week,watermelon marg
8/14/22,28
8/21/22,25
8/28/22,25
9/4/22,24
9/11/22,21
9/18/22,9
9/25/22,7
10/2/22,9
10/9/22,5
10/16/22,8
10/23/22,6
10/30/22,6
11/6/22,4
11/13/22,8
11/20/22,6
11/27/22,2
12/4/22,4
12/11/22,5
12/18/22,3
12/25/22,6
1/1/23,4
1/8/23,1
1/15/23,5
1/22/23,5
1/29/23,6
2/5/23,8
2/12/23,6
2/19/23,8
2/26/23,8
3/5/23,5
3/12/23,5
3/19/23,9
3/26/23,9
4/2/23,8
4/9/23,10
4/16/23,10
4/23/23,16
4/30/23,29
5/7/23,23
5/14/23,20
5/21/23,32
5/28/23,54
6/4/23,33
6/11/23,37
6/18/23,46
6/25/23,62
7/2/23,100
7/9/23,42
7/16/23,43
7/23/23,33
7/30/23,39
7/23/23,33
7/30/23,39
